name,img,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url
The HideoutElla Wood Cabins,https://cf.bstatic.com/xdata/images/hotel/square200/233212243.webp?k=f17ecfab176351d6d991c510f337efd6620d496b6f07597f3a653a13e6b70da2&o=,10926,"1 night, 1 adult",Deluxe Double Room,1 large double bed,8.6,Fabulous,113 reviews,https://www.booking.com/hotel/lk/hideout-ella-wood-cabins.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=563066501_274583224_1_42_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=1&highlighted_blocks=563066501_274583224_1_42_0&hpos=1&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=563066501_274583224_1_42_0__5546&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1YDnHm0me&from=searchresults;highlight_room=#hotelTmpl
Serenite Ella,https://cf.bstatic.com/xdata/images/hotel/square200/171136998.webp?k=50727eae3355bde392e2ba77b8a2b2c6e03f2b658d7a15cdeb4fb774ba25fdcc&o=, 9752,"1 night, 1 adult",One-Bedroom Chalet,1 extra-large double bed,8.6,Fabulous,464 reviews,https://www.booking.com/hotel/lk/serenite.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=173572701_269390123_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=2&highlighted_blocks=173572701_269390123_2_1_0&hpos=2&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=173572701_269390123_2_1_0__4950&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1Tv9kkeYj&from=searchresults;highlight_room=#hotelTmpl
Ella Hide View,https://cf.bstatic.com/xdata/images/hotel/square200/199490722.webp?k=920af2cc0f7ddb882026b7e4b512fcce04db534bbe785326950b7c3bb7b23340&o=," 4,521","1 night, 1 adult",Double Room with Balcony,1 large double bed,8.7,Fabulous,687 reviews,https://www.booking.com/hotel/lk/ella-hide-view.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=130752901_263976195_2_2_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=3&highlighted_blocks=130752901_263976195_2_2_0&hpos=3&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=130752901_263976195_2_2_0__2295&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1UAbb-nKx&from=searchresults;highlight_room=#hotelTmpl
Samadhi Nature Resort,https://cf.bstatic.com/xdata/images/hotel/square200/147023070.webp?k=24d92874db13d66a07550a231e40ee82cd86871321916497957805f067db13cc&o=," 2,847","1 night, 1 adult",Double Room,1 extra-large double bed,9.2,Superb,467 reviews,https://www.booking.com/hotel/lk/samadhi-nature-resort.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=270552104_120647082_0_2_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=4&highlighted_blocks=270552104_120647082_0_2_0&hpos=4&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=270552104_120647082_0_2_0__1445&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1wo_E1T51&from=searchresults;highlight_room=#hotelTmpl
Blooming Rose Ella,https://cf.bstatic.com/xdata/images/hotel/square200/214158137.webp?k=56c5ea90c61b3616e5fb356a33874e08c0214b6613ebb3bac0a88826cbbb98aa&o=," 4,925","1 night, 1 adult",Deluxe Double Room with Balcony,1 large double bed,9.5,Exceptional,426 reviews,https://www.booking.com/hotel/lk/blooming-rose-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=164206902_92845572_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=5&highlighted_blocks=164206902_92845572_2_1_0&hpos=5&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=164206902_92845572_2_1_0__2500&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1eC85fXdV&from=searchresults;highlight_room=#hotelTmpl
Ella Treehouses and Cabanas,https://cf.bstatic.com/xdata/images/hotel/square200/256920037.webp?k=a5ccd5a50adf1421f7b158792b39766d4b71fd5d8b4c3e9fc93d95687e00adfb&o=," 3,940","1 night, 1 adult",Rock Cabana,1 double bed,8.7,Fabulous,229 reviews,https://www.booking.com/hotel/lk/ella-treehouse-pearl.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=187874907_277264193_0_2_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=6&highlighted_blocks=187874907_277264193_0_2_0&hpos=6&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=187874907_277264193_0_2_0__2000&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1niO0XxOS&from=searchresults;highlight_room=#hotelTmpl
Romance in Ella,https://cf.bstatic.com/xdata/images/hotel/square200/183463194.webp?k=56a5c614135c30cc16233b1d25d33873081c33dae21521df11bff1dd0f39c44b&o=," 8,865","1 night, 1 adult",Double Room with Mountain View,1 large double bed,9.6,Exceptional,206 reviews,https://www.booking.com/hotel/lk/romance-in-ella-bed-and-breakfast.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=168340501_221113054_2_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=7&highlighted_blocks=168340501_221113054_2_1_0&hpos=7&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=168340501_221113054_2_1_0__4500&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1aAZ5npHN&from=searchresults;highlight_room=#hotelTmpl
Area 4 eco cubes,https://cf.bstatic.com/xdata/images/hotel/square200/208236986.webp?k=55dddc21a76c4e91af9660cfc3b947e279c8ff551c0a83fbe03f9e1c66630ba2&o=," 7,829","1 night, 1 adult",Apartment with Mountain View,1 large double bed,9.3,Superb,51 reviews,https://www.booking.com/hotel/lk/area-4-eco-cubes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=454802302_267410284_2_41_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=8&highlighted_blocks=454802302_267410284_2_41_0&hpos=8&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=454802302_267410284_2_41_0__3974&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1QJ42fuS7&from=searchresults;highlight_room=#hotelTmpl
O2 Villas Ella,https://cf.bstatic.com/xdata/images/hotel/square200/297468282.webp?k=237b85edc8f9bd00f7df5d063a50a1fa84d05c2020aa8c851e06d885e7752875&o=," 9,653","1 night, 1 adult",Double Room with Patio,1 extra-large double bed,8.8,Fabulous,26 reviews,https://www.booking.com/hotel/lk/o2-villas-ella-ella.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=623603304_287387198_0_1_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=9&highlighted_blocks=623603304_287387198_0_1_0&hpos=9&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=623603304_287387198_0_1_0__4900&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1v0ehpILn&from=searchresults;highlight_room=#hotelTmpl
The Rock Face,https://cf.bstatic.com/xdata/images/hotel/square200/105486297.webp?k=b38a71f3beb7bb64b5763238eb93d26839c3b135a5f31c2c5011e69dc71c8984&o=," 2,758","1 night, 1 adult",Deluxe Double Room,1 extra-large double bed,8.8,Fabulous,410 reviews,https://www.booking.com/hotel/lk/the-rock-face.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAL195yFBsACAdICJGQ0ZjJmMjAyLWI0NTUtNGRhMy1iMWM3LTRlYjliMjJjNjRjY9gCBuACAQ&sid=429bcb18100f34d4a708b3eb0b5a0a26&all_sr_blocks=146374605_272303323_1_0_0&checkin=2021-06-09&checkout=2021-06-10&dest_id=-2216722&dest_type=city&group_adults=1&group_children=0&hapos=10&highlighted_blocks=146374605_272303323_1_0_0&hpos=10&nflt=pri%3D1%3B&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=146374605_272303323_1_0_0__1400&srepoch=1621576322&srpvid=f5ea2941f0a8007b&ucfs=1&sig=v1-2q40E2h&from=searchresults;highlight_room=#hotelTmpl
